,tconst,title,runtime_minutes,genres,averagerating,numvotes,studio,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,release_month,profit,ROI%,worldwide%
75,tt0816711,World War Z,116.0,"Action,Adventure,Horror",7.0,553751,Par.,337600000.0,2013-06-21,190000000,202359711,531514650,June,341514650,79.74455263157894,0.619277265452608
76,tt0817177,Flipped,90.0,"Comedy,Drama,Romance",7.7,74937,WB,0.0,2010-08-06,14000000,1755212,4289993,August,-9710007,-169.35719285714285,0.5908590060636463
78,tt0817230,Valentine's Day,125.0,"Comedy,Romance",5.7,107171,WB (NL),106000000.0,2010-02-12,52000000,110485654,217569328,February,165569328,218.40255384615386,0.4921818483531833
79,tt0822847,Priest,87.0,"Action,Adventure,Fantasy",5.7,108320,SGem,49200000.0,2011-05-13,60000000,29136626,84154026,May,24154026,-59.74329,0.653770266439778
80,tt0829150,Dracula Untold,92.0,"Action,Drama,Fantasy",6.3,164829,Uni.,160800000.0,2014-10-10,70000000,55991880,220241723,October,150241723,114.63103285714287,0.7457707865825224
81,tt0837562,Hotel Transylvania,91.0,"Animation,Comedy,Family",7.1,204571,Sony,210100000.0,2012-09-28,85000000,148313048,378505812,September,293505812,245.30095529411767,0.6081617684644695
82,tt0840361,The Town,125.0,"Crime,Drama,Thriller",7.6,322524,WB,61800000.0,2010-09-17,37000000,92186262,152566881,September,115566881,212.34292162162163,0.3957649170267825
83,tt0842926,The Kids Are All Right,106.0,"Comedy,Drama,Romance",7.0,120656,Focus,13900000.0,2010-07-09,4000000,20811365,36275469,July,32275469,706.8867250000001,0.42629645946135114
84,tt0848537,Epic,102.0,"Adventure,Animation,Family",6.7,95318,Fox,160900000.0,2013-05-24,100000000,107518682,262794441,May,162794441,62.794441,0.5908639406873907
85,tt0850709,Risen,121.0,"Biography,Drama",5.3,182,Sony,9200000.0,2016-02-19,20000000,36880033,46255763,February,26255763,31.278814999999998,0.20269322981441254
87,tt0857190,The Sweeney,112.0,"Action,Crime,Drama",6.1,18095,EOne,6300000.0,2013-03-01,4500000,26345,8000366,March,3500366,-22.214088888888888,0.9967070256535764
88,tt0864835,Mr. Peabody & Sherman,92.0,"Adventure,Animation,Comedy",6.8,57277,Fox,164200000.0,2014-03-07,145000000,111506430,269806430,March,124806430,-13.9266,0.5867169288737856
89,tt0872230,My Soul to Take,107.0,"Horror,Mystery,Thriller",4.8,18381,Uni.,6200000.0,2010-10-08,25000000,14744435,16727470,October,-8272530,-133.09012,0.11854960732256581
90,tt0873886,Red State,88.0,"Action,Crime,Horror",6.2,59266,SMod,0.0,2011-09-23,4000000,1065429,1983596,September,-2016404,-150.4101,0.46288004210534806
91,tt0878835,Please Give,87.0,"Comedy,Drama",6.6,10652,SPC,280000.0,2010-04-30,3000000,4033574,4570178,April,1570178,-47.66073333333333,0.11741424513443459
92,tt0879870,Eat Pray Love,133.0,"Drama,Romance",5.8,77709,Sony,124000000.0,2010-08-13,60000000,80574010,206598789,August,146598789,144.33131500000002,0.6099976655719894
93,tt0881320,Sanctum,108.0,"Adventure,Drama,Thriller",5.9,51318,Uni.,85400000.0,2011-02-04,30000000,23209310,108957098,February,78957098,163.19032666666666,0.7869867092091605
94,tt0882977,Snitch,112.0,"Action,Drama,Thriller",6.5,78142,LG/S,0.0,2013-02-22,15000000,42930462,57907734,February,42907734,186.05156,0.2586402707451823
96,tt0884732,The Wedding Ringer,101.0,Comedy,6.7,66893,SGem,15300000.0,2015-01-16,23000000,64460211,80171596,January,57171596,148.57215652173915,0.19597196243916612
97,tt0889573,The Switch,101.0,"Comedy,Drama,Romance",6.1,90661,Mira.,22100000.0,2010-08-20,19000000,27758465,49858465,August,30858465,62.41297368421053,0.4432547211391285
98,tt0892318,Letters to Juliet,105.0,"Adventure,Comedy,Drama",6.6,86137,Sum.,26100000.0,2010-05-14,30000000,53032453,82148538,May,52148538,73.82845999999999,0.3544321750436995
99,tt0892769,How to Train Your Dragon,98.0,"Action,Adventure,Animation",8.1,611299,P/DW,277300000.0,2010-03-26,165000000,217581232,494870992,March,329870992,99.92181333333333,0.5603273670969181
100,tt0892791,Shrek Forever After,93.0,"Adventure,Animation,Comedy",6.3,167532,P/DW,513900000.0,2010-05-21,165000000,238736787,756244673,May,591244673,258.3301048484849,0.6843127687062729
101,tt0903624,The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,WB (NL),718100000.0,2012-12-14,250000000,303003568,1017003568,December,767003568,206.8014272,0.7020624336688659
102,tt0918940,The Legend of Tarzan,110.0,"Action,Adventure,Drama",6.3,150154,WB,230100000.0,2016-07-01,180000000,126643061,348902025,July,168902025,-6.165541666666666,0.6370240012221196
103,tt0935075,Rabbit Hole,91.0,Drama,7.0,45357,LGF,2900000.0,2010-12-17,5000000,2229058,6205034,December,1205034,-75.89932,0.6407661908057233
104,tt0938283,The Last Airbender,103.0,"Action,Adventure,Family",4.1,137734,Par.,187900000.0,2010-07-01,150000000,131772187,319713881,July,169713881,13.142587333333333,0.5878433973906814
105,tt0944835,Salt,100.0,"Action,Mystery,Thriller",6.4,277204,Sony,175200000.0,2010-07-23,130000000,118311368,290650494,July,160650494,23.577303076923076,0.5929428284405394
106,tt0945513,Source Code,93.0,"Action,Drama,Sci-Fi",7.5,452036,Sum.,92600000.0,2011-04-01,32000000,54712227,140428499,April,108428499,238.839059375,0.6103908580551017
107,tt0947798,Black Swan,108.0,"Drama,Thriller",8.0,648854,FoxS,222400000.0,2010-12-03,13000000,106954678,331266710,December,318266710,2348.205461538462,0.6771342402621743
108,tt0947810,Green Zone,115.0,"Action,Drama,Thriller",6.8,122132,Uni.,59800000.0,2010-03-12,100000000,35497337,97523020,March,-2476980,-102.47698000000001,0.6360106875279293
109,tt0948470,The Amazing Spider-Man,136.0,"Action,Adventure,Sci-Fi",7.0,525632,Sony,495900000.0,2012-07-03,220000000,262030663,757890267,July,537890267,144.4955759090909,0.6542630583749138
110,tt0954947,The Killer Inside Me,109.0,"Crime,Drama,Horror",6.1,31727,IFC,3800000.0,2010-06-18,13000000,217277,3617277,June,-9382723,-172.17479230769231,0.9399335466982485
111,tt0955308,Robin Hood,140.0,"Action,Adventure,Drama",6.6,239480,Uni.,216400000.0,2010-05-14,210000000,105487148,322459006,May,112459006,-46.44809238095238,0.672866485236266
119,tt0963966,The Sorcerer's Apprentice,109.0,"Action,Adventure,Family",6.1,143862,BV,152100000.0,2010-07-14,160000000,63150991,217986320,July,57986320,-63.75855,0.7102983756044875
120,tt0964517,The Fighter,116.0,"Biography,Drama,Sport",7.8,316539,Par.,35600000.0,2010-12-10,11000000,93617009,129262388,December,118262388,975.1126181818181,0.27575986759582377
121,tt0968264,The Conspirator,122.0,"Crime,Drama,History",6.9,26416,RAtt.,3900000.0,2011-04-15,25000000,11538204,15907411,April,-9092589,-136.37035600000002,0.2746648716123573
122,tt0970179,Hugo,126.0,"Adventure,Drama,Family",7.5,284869,Par.,111900000.0,2011-11-23,180000000,73864507,180047784,November,47784,-99.97345333333332,0.589750535335664
124,tt0970866,Little Fockers,98.0,"Comedy,Romance",5.5,99222,Uni.,162200000.0,2010-12-22,100000000,148438600,310650574,December,210650574,110.650574,0.5221685957676679
125,tt0974015,Justice League,120.0,"Action,Adventure,Fantasy",6.5,329135,WB,428900000.0,2017-11-17,300000000,229024295,655945209,November,355945209,18.648403,0.6508484369462023
126,tt0978764,Sucker Punch,110.0,"Action,Adventure,Fantasy",6.1,218371,WB,53400000.0,2011-03-25,75000000,36392502,89758389,March,14758389,-80.322148,0.5945504102129106
127,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,113.0,"Adventure,Family,Fantasy",6.3,129663,Fox,311300000.0,2010-12-10,155000000,104386950,418186950,December,263186950,69.79803225806451,0.7503820958544977
128,tt0983193,The Adventures of Tintin,107.0,"Action,Adventure,Animation",7.3,202430,Par.,296400000.0,2011-12-21,130000000,77591831,373993951,December,243993951,87.68765461538462,0.7925318556823396
129,tt0985694,Machete,105.0,"Action,Crime,Thriller",6.6,182320,Fox,17500000.0,2010-09-03,12500000,26593646,46370970,September,33870970,170.96776,0.4265022707094546
130,tt0989757,Dear John,108.0,"Drama,Romance,War",6.3,128657,SGem,35000000.0,2010-02-05,25000000,80014842,142033509,February,117033509,368.13403600000004,0.43664813632112687
131,tt0990407,The Green Hornet,119.0,"Action,Comedy,Crime",5.8,148622,Sony,129000000.0,2011-01-14,110000000,98780042,229155503,January,119155503,8.323184545454545,0.5689388179344749
132,tt0993842,Hanna,111.0,"Action,Drama,Thriller",6.8,179178,Focus,23500000.0,2011-04-08,30000000,40259119,65343694,April,35343694,17.812313333333332,0.38388669915110707
133,tt0993846,The Wolf of Wall Street,180.0,"Biography,Crime,Drama",8.2,1035358,Par.,275100000.0,2013-12-25,100000000,116900694,389870414,December,289870414,189.870414,0.7001550007331411
134,tt1001526,Megamind,95.0,"Action,Animation,Comedy",7.3,207488,P/DW,173500000.0,2010-11-05,130000000,148415853,321887208,November,191887208,47.605544615384616,0.5389196920183296
135,tt1002563,The Young Messiah,111.0,"Drama,Fantasy",5.6,2882,Focus,0.0,2016-03-11,16800000,6469813,7313697,March,-9486303,-156.46608928571428,0.11538405268908461
136,tt1007029,The Iron Lady,105.0,"Biography,Drama",6.4,96066,Wein.,84900000.0,2012-01-13,14000000,29959436,115592104,January,101592104,625.6578857142857,0.7408176253976656
137,tt10075374,The Little Prince,93.0,Action,8.3,6,EOne,96200000.0,2016-02-12,77500000,1311213,102028919,February,24528919,-68.34978193548386,0.9871486142080953
140,tt1013860,Dylan Dog: Dead of Night,107.0,"Action,Comedy,Crime",5.1,14120,OMNI/FSR,3400000.0,2011-04-29,20000000,1186538,6093725,April,-13906275,-169.531375,0.8052852729652225
141,tt1014763,Child 44,137.0,"Crime,Drama,History",6.5,59477,LG/S,11700000.0,2015-04-17,50000000,1224330,8004221,April,-41995779,-183.991558,0.8470394558071298
142,tt1017451,The Runaways,106.0,"Biography,Drama,Music",6.6,43792,App.,1100000.0,2010-03-19,9500000,3573673,5278632,March,-4221368,-144.43545263157895,0.32299258595787694
144,tt1020072,Selma,128.0,"Biography,Drama,History",7.5,77633,Par.,14700000.0,2015-01-09,20000000,52076908,66776576,January,46776576,133.88288,0.22013210141232759
145,tt1020558,Centurion,97.0,"Action,Adventure,Drama",6.4,74085,Magn.,6700000.0,2010-08-27,15000000,123570,7885048,August,-7114952,-147.43301333333335,0.9843285671818358
146,tt1024648,Argo,120.0,"Biography,Drama,Thriller",7.7,534683,WB,96300000.0,2012-10-12,44500000,136025503,227140757,October,182640757,310.42866741573033,0.4011400472703364
147,tt1028576,Secretariat,123.0,"Biography,Drama,Family",7.2,24536,BV,537000.0,2010-10-08,35000000,59699513,60376247,October,25376247,-27.496437142857143,0.011208613215061215
148,tt1032751,The Warrior's Way,100.0,"Action,Fantasy,Western",6.3,24271,Rela.,5400000.0,2010-12-03,42000000,5666340,8514325,December,-33485675,-179.72779761904764,0.33449333916663976
149,tt1033575,The Descendants,115.0,"Comedy,Drama",7.3,223464,FoxS,94700000.0,2011-11-16,20000000,82624961,175507800,November,155507800,677.539,0.5292234248278425
151,tt1034389,The Eagle,114.0,"Action,Adventure,Drama",6.2,61475,Focus,7600000.0,2011-02-11,25000000,19490041,38993548,February,13993548,-44.025808,0.5001726695913898
152,tt1034415,Suspiria,152.0,"Fantasy,Horror,Mystery",6.8,37360,Amazon,5400000.0,2018-10-26,20000000,2483472,7034615,October,-12965385,-164.826925,0.6469640484944805
153,tt1037705,The Book of Eli,118.0,"Action,Adventure,Drama",6.9,271307,WB,62300000.0,2010-01-15,80000000,94835059,158750817,January,78750817,-1.56147875,0.40261687598118
154,tt1038919,The Bounty Hunter,110.0,"Action,Comedy,Romance",5.6,112444,Sony,69300000.0,2010-03-19,45000000,67061228,135808837,March,90808837,101.79741555555555,0.5062086570993903
156,tt1041804,The Nutcracker in 3D,110.0,"Action,Family,Fantasy",4.3,3119,Free,16000000.0,2010-11-24,90000000,195459,20466016,November,-69533984,-177.25998222222222,0.9904495823710877
157,tt1043726,The Legend of Hercules,99.0,"Action,Adventure,Fantasy",4.2,50352,LG/S,42400000.0,2014-01-10,70000000,18848538,58953319,January,-11046681,-115.78097285714286,0.6802802909196681
158,tt1045658,Silver Linings Playbook,122.0,"Comedy,Drama,Romance",7.7,621018,Wein.,104300000.0,2012-11-16,21000000,132092958,236412453,November,215412453,925.7735857142857,0.44126057522020634
159,tt1047540,Parental Guidance,105.0,"Comedy,Family",6.1,23711,Fox,42500000.0,2012-12-25,25000000,77267296,120832383,December,95832383,283.329532,0.3605414866311128
160,tt1051904,Goosebumps,103.0,"Adventure,Comedy,Family",6.3,72858,Sony,70100000.0,2015-10-16,58000000,80069458,158905324,October,100905324,73.97469655172414,0.49611846862978615
161,tt1053424,Repo Men,111.0,"Action,Crime,Sci-Fi",6.3,96144,Uni.,4600000.0,2010-03-19,32000000,13942007,18195238,March,-13804762,-143.13988125,0.23375517264462273
162,tt1053810,The Big Year,100.0,Comedy,6.2,39522,Fox,244000.0,2011-10-14,41000000,7204138,7684524,October,-33315476,-181.25725853658537,0.06251343609571654
163,tt1055292,Life as We Know It,114.0,"Comedy,Drama,Romance",6.6,113077,WB,52300000.0,2010-10-08,38000000,53374681,105887837,October,67887837,78.65220263157894,0.49593189820281247
164,tt1065073,Boyhood,165.0,Drama,7.9,315584,IFC,19100000.0,2014-07-11,4000000,25379975,57273049,July,53273049,1231.826225,0.5568600686860586
165,tt1067583,Water for Elephants,120.0,"Drama,Romance",6.9,105812,Fox,58400000.0,2011-04-22,38000000,58709717,116809717,April,78809717,107.39399210526315,0.49739012722717235
166,tt1067774,Monte Carlo,109.0,"Adventure,Comedy,Family",5.8,38731,Fox,16500000.0,2011-07-01,20000000,23186769,39686769,July,19686769,-1.566155,0.41575568925754575
167,tt1071875,Ghost Rider: Spirit of Vengeance,96.0,"Action,Fantasy,Thriller",4.3,103608,Sony,80800000.0,2012-02-17,57000000,51774002,149217355,February,92217355,61.78483333333333,0.6530296224591302
168,tt1072748,Winchester,99.0,"Biography,Drama,Fantasy",5.4,24351,LGF,0.0,2018-02-02,3500000,25091816,44378040,February,40878040,1067.944,0.4345893599627203
169,tt1074638,Skyfall,143.0,"Action,Adventure,Thriller",7.8,592221,Sony,804200000.0,2012-11-08,200000000,304360277,1110526981,November,910526981,355.2634905,0.7259316682914524
170,tt1075747,Jonah Hex,81.0,"Action,Drama,Fantasy",4.7,51860,WB,356000.0,2010-06-18,47000000,10547117,11022696,June,-35977304,-176.54745531914892,0.04314543374869451
171,tt1077368,Dark Shadows,113.0,"Comedy,Fantasy,Horror",6.2,229818,WB,165800000.0,2012-05-11,150000000,79727149,238202668,May,88202668,-41.198221333333336,0.6652969940706122
172,tt1083452,Eddie the Eagle,106.0,"Biography,Comedy,Drama",7.4,75331,Fox,30400000.0,2016-02-26,23000000,15789389,45060480,February,22060480,-4.084869565217391,0.6495956323589984
174,tt1646127,Lights Out,87.0,"Drama,Mystery,Thriller",6.4,971,WB (NL),81600000.0,2016-07-22,5000000,67268835,148806510,July,143806510,2776.1302,0.5479442734057804
177,tt1086772,Blended,117.0,"Comedy,Romance",6.5,106491,WB,81700000.0,2014-05-23,45000000,46290741,127990741,May,82990741,84.42386888888889,0.638327424012648
178,tt1091191,Lone Survivor,121.0,"Action,Biography,Drama",7.5,246641,Uni.,29700000.0,2013-12-25,40000000,125095601,149804632,December,109804632,174.51158,0.16494170220317353
180,tt1959490,Noah,138.0,"Action,Adventure,Drama",5.8,229326,Par.,261399999.0,2014-03-28,130000000,101200044,352831065,March,222831065,71.40851153846154,0.7131770582615791
182,tt1092026,Paul,104.0,"Adventure,Comedy,Sci-Fi",7.0,220567,Uni.,60600000.0,2011-03-18,40000000,37412945,101162106,March,61162106,52.905265,0.6301683853833568
184,tt1092634,Shanghai,105.0,"Crime,Drama,Mystery",6.4,8662,Wein.,9200000.0,2015-10-02,50000000,46425,15505922,October,-34494078,-168.988156,0.99700598261748
186,tt1093357,The Darkest Hour,89.0,"Action,Adventure,Horror",4.9,55071,Sum.,43200000.0,2011-12-25,34800000,21443494,62831715,December,28031715,-19.449094827586208,0.6587154433075717
188,tt1103153,Killers,100.0,"Action,Comedy,Romance",5.4,82237,LGF,51100000.0,2010-06-04,75000000,47059963,95572749,June,20572749,-72.569668,0.5076006132250104
190,tt1109624,Paddington,95.0,"Adventure,Comedy,Family",7.2,84679,W/Dim.,191800000.0,2015-01-16,55000000,76223578,258789097,January,203789097,270.5256309090909,0.7054606284282525
191,tt1111235,Trance,83.0,Horror,4.6,77,FoxS,21900000.0,2013-04-05,16000000,2322593,22594052,April,6594052,-58.787175000000005,0.8972033436056533
195,tt1120985,Blue Valentine,112.0,"Drama,Romance",7.4,170089,Wein.,2600000.0,2010-12-29,1000000,9737892,16566240,December,15566240,1456.624,0.4121845391591574
196,tt1121096,Seventh Son,102.0,"Action,Adventure,Fantasy",5.5,66565,Uni.,97000000.0,2015-02-06,95000000,17725785,108874967,February,13874967,-85.39477157894737,0.8371913628226404
197,tt1124035,The Ides of March,101.0,"Drama,Thriller",7.1,207417,Sony,35000000.0,2011-10-07,23000000,40962534,77735925,October,54735925,137.98228260869564,0.4730552958622413
198,tt1124037,Free State of Jones,139.0,"Action,Biography,Drama",6.9,45135,STX,4200000.0,2016-06-24,50000000,20810036,23237252,June,-26762748,-153.525496,0.10445365915040213
199,tt1126590,Big Eyes,106.0,"Biography,Crime,Drama",7.0,77447,Wein.,14800000.0,2014-12-25,10000000,14482031,27317872,December,17317872,73.17872,0.469869724845332
201,tt1126591,Burlesque,119.0,"Drama,Music,Musical",6.4,71021,SGem,50100000.0,2010-11-24,55000000,39440655,90552675,November,35552675,-35.35877272727272,0.5644451696208864
203,tt1126618,Morning Glory,107.0,"Comedy,Drama,Romance",6.5,67367,Par.,29000000.0,2010-11-10,40000000,31011732,59795070,November,19795070,-50.512325000000004,0.48136640696298205
204,tt1130884,Shutter Island,138.0,"Mystery,Thriller",8.1,1005960,Par.,166800000.0,2010-02-19,80000000,128012934,299461782,February,219461782,174.3272275,0.5725233011536678
205,tt1133985,Green Lantern,114.0,"Action,Adventure,Sci-Fi",5.5,252281,WB,103300000.0,2011-06-17,200000000,116601172,219535492,June,19535492,-90.232254,0.4688732517109352
206,tt1135084,Takers,107.0,"Action,Crime,Thriller",6.2,53377,SGem,11300000.0,2010-08-27,32000000,57744720,70587268,August,38587268,20.5852125,0.18193858983180933
207,tt1139328,The Ghost Writer,128.0,"Drama,Mystery,Thriller",7.2,148274,Sum.,44700000.0,2010-02-19,45000000,15541549,65532491,February,20532491,-54.37224222222222,0.7628420839366536
208,tt1142977,Frankenweenie,87.0,"Animation,Comedy,Family",7.0,89489,BV,46200000.0,2012-10-05,39000000,35287788,81150788,October,42150788,8.07894358974359,0.5651577899650216
209,tt1152398,Beastly,86.0,"Drama,Fantasy,Romance",5.6,72599,CBS,15300000.0,2011-03-04,17000000,27865571,38028230,March,21028230,23.695470588235292,0.2672398636486631
210,tt1152822,Freakonomics,93.0,Documentary,6.4,6466,Magn.,16400.0,2010-10-01,2900000,101270,172867,October,-2727133,-194.03906896551723,0.41417390247994124
211,tt1152830,The Joneses,117.0,"Comedy,Drama",6.9,87,RAtt.,5500000.0,2010-04-16,10000000,1475746,3541565,April,-6458435,-164.58435,0.5833068149250402
213,tt1155076,The Karate Kid,140.0,"Action,Drama,Family",6.2,146401,Sony,182500000.0,2010-06-11,40000000,176591618,351774938,June,311774938,679.437345,0.4979982968542233
215,tt1161864,The Rite,114.0,"Drama,Horror,Mystery",6.0,85604,WB (NL),63000000.0,2011-01-28,37000000,33047633,97143987,January,60143987,62.551316216216215,0.6598077346773918
216,tt1164999,Biutiful,148.0,"Drama,Romance",7.5,80382,RAtt.,20000000.0,2011-01-28,35000000,5101237,24687524,January,-10312476,-129.46421714285714,0.7933678160677433
217,tt1170358,The Hobbit: The Desolation of Smaug,161.0,"Adventure,Fantasy",7.8,565563,WB (NL),700000000.0,2013-12-13,250000000,258366855,960366855,December,710366855,184.14674200000002,0.7309706664126804
218,tt1171222,Baggage Claim,96.0,Comedy,5.1,8296,FoxS,887000.0,2013-09-27,8500000,21569509,22885836,September,14385836,69.24512941176471,0.057517103591933454
219,tt1175709,All Good Things,101.0,"Crime,Drama,Mystery",6.3,49684,Magn.,62500.0,2010-12-03,20000000,582024,873617,December,-19126383,-195.631915,0.3337767007739089
220,tt1178665,A Walk in the Woods,104.0,"Adventure,Biography,Comedy",6.3,22033,BG,8000000.0,2015-09-02,8000000,29499394,37119358,September,29119358,263.99197499999997,0.2052827530045105
221,tt1179933,10 Cloverfield Lane,103.0,"Drama,Horror,Mystery",7.2,260383,Par.,38100000.0,2016-03-11,5000000,72082999,108286422,March,103286422,1965.72844,0.3343302173193976
222,tt1182350,You Will Meet a Tall Dark Stranger,98.0,"Comedy,Drama,Romance",6.3,41608,SPC,31000000.0,2010-09-22,15000000,3247816,34247816,September,19247816,28.318773333333336,0.9051672083265105
223,tt1183923,Welcome to the Rileys,110.0,Drama,7.0,22210,Gold.,158000.0,2010-10-29,10000000,152857,355919,October,-9644081,-196.44081,0.5705286877070345
224,tt1189340,The Lincoln Lawyer,118.0,"Crime,Drama,Thriller",7.3,196109,LGF,17000000.0,2011-03-18,40000000,58009200,87145086,March,47145086,17.862715,0.33433768141556486
225,tt1192628,Rango,107.0,"Adventure,Animation,Comedy",7.2,215761,Par.,122200000.0,2011-03-04,135000000,123477607,245724600,March,110724600,-17.981777777777776,0.4974959487165713
226,tt1194173,The Bourne Legacy,135.0,"Action,Adventure,Thriller",6.7,268678,Uni.,162900000.0,2012-08-10,125000000,113203870,280355920,August,155355920,24.284736000000002,0.5962137343131545
227,tt1194417,Casino Jack,108.0,"Biography,Comedy,Crime",6.2,16191,ATO,40700.0,2010-12-17,12500000,2039869,2272186,December,-10227814,-181.822512,0.10224383039064584
228,tt1195478,The Five-Year Engagement,124.0,"Comedy,Romance",6.2,88469,Uni.,25100000.0,2012-04-27,30000000,28700285,61623819,April,31623819,5.412730000000001,0.5342663686585215
229,tt1196141,Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family",6.2,38640,Fox,11700000.0,2010-03-19,15000000,64003625,76954311,March,61954311,313.02873999999997,0.1682905847860817
230,tt1198101,Kites,123.0,"Action,Drama,Romance",6.1,11353,Relbig.,1300000.0,2010-05-21,9200000,1685269,17155193,May,7955193,-13.530510869565218,0.9017633319543534
231,tt1204342,The Muppets,103.0,"Adventure,Comedy,Family",7.1,82752,BV,76600000.0,2011-11-23,45000000,88625922,160971922,November,115971922,157.71538222222222,0.44943241716403187
232,tt1204975,Last Vegas,105.0,"Comedy,Drama",6.6,121409,CBS,70500000.0,2013-01-28,28000000,63914167,112914167,January,84914167,203.26488214285715,0.4339579461273447
233,tt1204977,Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054,Uni.,52700000.0,2014-10-24,5000000,50856010,103300632,October,98300632,1866.01264,0.5076892656377939
234,tt1205537,Jack Ryan: Shadow Recruit,105.0,"Action,Drama,Thriller",6.2,114913,Par.,84900000.0,2014-01-17,60000000,50577412,131377412,January,71377412,18.962353333333333,0.6150220100240672
235,tt1206543,Out of the Furnace,116.0,"Crime,Drama,Thriller",6.8,99037,Rela.,4300000.0,2013-12-04,22000000,11330849,15434375,December,-6565625,-129.84375,0.2658692690828103
236,tt1210166,Moneyball,133.0,"Biography,Drama,Sport",7.6,326657,Sony,34600000.0,2011-09-23,50000000,75605492,111300835,September,61300835,22.60167,0.32071046906341716
237,tt1210819,The Lone Ranger,150.0,"Action,Adventure,Western",6.4,208827,BV,171200000.0,2013-07-02,275000000,89302115,260002115,July,-14997885,-105.45377636363635,0.6565331208940358
238,tt1211837,Doctor Strange,115.0,"Action,Adventure,Fantasy",7.5,514510,BV,445100000.0,2016-11-04,165000000,232641920,676404566,November,511404566,209.9421612121212,0.6560609852536093
239,tt1211956,Escape Plan,115.0,"Action,Crime,Mystery",6.7,211587,LG/S,112200000.0,2013-10-18,70000000,25135965,103735965,October,33735965,-51.80576428571428,0.7576928599449574
240,tt1212419,Hereafter,129.0,"Drama,Fantasy,Romance",6.5,87288,WB,72500000.0,2010-10-15,50000000,32746941,108660270,October,58660270,17.32054,0.6986300420567702
241,tt1212428,The Lost City of Z,141.0,"Adventure,Biography,Drama",6.6,66475,BST,10700000.0,2017-04-14,30000000,8574339,17121823,April,-12878177,-142.92725666666666,0.4992157669192118
242,tt1212450,Lawless,116.0,"Crime,Drama",7.3,214055,Wein.,16300000.0,2012-08-29,26000000,37397291,54393687,August,28393687,9.206488461538461,0.3124700114555573
243,tt1213641,First Man,141.0,"Biography,Drama,History",7.4,120009,Uni.,60800000.0,2018-10-12,60000000,44936545,105203825,October,45203825,-24.660291666666666,0.5728620608613803
245,tt1213663,The World's End,109.0,"Action,Comedy,Sci-Fi",7.0,235308,Focus,20100000.0,2013-08-23,20000000,26004851,47508505,August,27508505,37.542525,0.45262746112511854
246,tt1216475,Cars 2,106.0,"Adventure,Animation,Comedy",6.2,138914,BV,370700000.0,2011-06-24,200000000,191450875,560155383,June,360155383,80.0776915,0.6582182715541269
247,tt1216491,Kill the Messenger,112.0,"Biography,Crime,Drama",7.0,41231,Focus,0.0,2014-10-10,5000000,2450846,6656705,October,1656705,-66.8659,0.631822951445197
248,tt1216492,Leap Year,100.0,"Comedy,Romance",6.5,86125,Uni.,6700000.0,2010-01-08,19000000,25918920,32618920,January,13618920,-28.321473684210524,0.20540226347162935
250,tt1217209,Brave,93.0,"Adventure,Animation,Comedy",7.1,338728,BV,303200000.0,2012-06-22,185000000,237282182,554606532,June,369606532,99.78731459459459,0.5721612200557349
251,tt1219289,Limitless,105.0,"Mystery,Sci-Fi,Thriller",7.4,492490,Rela.,82600000.0,2011-03-18,27000000,79249455,155564919,March,128564919,376.16636666666665,0.490569882275322
254,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,97.0,"Action,Adventure,Animation",7.0,73790,WB,84400000.0,2010-09-24,100000000,55675313,139716717,September,39716717,-60.283283,0.6015128740822044
255,tt1220634,Resident Evil: Afterlife,96.0,"Action,Adventure,Horror",5.9,153270,SGem,240100000.0,2010-09-10,57500000,60128566,295874190,September,238374190,314.5638086956522,0.7967765758817963
256,tt1222817,Zookeeper,102.0,"Comedy,Family,Romance",5.2,52396,Sony,89500000.0,2011-07-08,80000000,80360866,170805525,July,90805525,13.50690625,0.5295183454984843
257,tt1226229,Get Him to the Greek,109.0,"Adventure,Comedy,Music",6.4,161653,Uni.,30300000.0,2010-06-04,40000000,61153526,91455875,June,51455875,28.6396875,0.3313329952832445
258,tt1226273,Edge of Darkness,117.0,"Crime,Drama,Mystery",6.6,84753,WB,37800000.0,2010-01-29,60000000,43313890,82812456,January,22812456,-61.979240000000004,0.4769640692699659
259,tt1226753,The Debt,113.0,"Drama,Thriller",6.9,61046,Focus,14500000.0,2011-08-31,20000000,31177548,46604054,August,26604054,33.020270000000004,0.33101210465510145
261,tt1226837,Beautiful Boy,120.0,"Biography,Drama",7.3,30368,Anch.,0.0,2018-10-12,25000000,7634767,13031424,October,-11968576,-147.874304,0.4141264224078658
263,tt1228705,Iron Man 2,124.0,"Action,Adventure,Sci-Fi",7.0,657690,Par.,311500000.0,2010-05-07,170000000,312433331,621156389,May,451156389,165.3861111764706,0.4970134147650214
264,tt1228987,Let Me In,116.0,"Drama,Fantasy,Horror",7.1,107012,Over.,12000000.0,2010-10-01,20000000,12134935,28270399,October,8270399,-58.648005000000005,0.5707547318309869
