,tconst,title,runtime_minutes,genres,averagerating,numvotes,studio,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,release_month,profit,ROI%,worldwide%
1360,tt5117670,Peter Rabbit,95.0,"Adventure,Animation,Comedy",6.6,27908,Sony,236000000.0,2018-02-09,50000000,115234093,347136477,February,297136477,494.272954,0.6680438368336612
1361,tt5140878,Annabelle: Creation,109.0,"Horror,Mystery,Thriller",6.5,90402,WB (NL),204400000.0,2017-08-11,15000000,102092201,305384865,August,290384865,1835.8990999999999,0.6656933178400967
1362,tt5164432,"Love, Simon",110.0,"Comedy,Drama,Romance",7.6,81575,Fox,25500000.0,2018-03-16,10000000,40826341,65520633,March,55520633,455.20633000000004,0.3768933673153005
1363,tt5220122,Hotel Transylvania 3: Summer Vacation,97.0,"Adventure,Animation,Comedy",6.3,42299,Sony,361100000.0,2018-07-13,65000000,167500092,527079962,July,462079962,610.8922492307693,0.682211231547444
1364,tt5247022,Paterson,118.0,"Comedy,Drama,Romance",7.4,55285,BST,0.0,2016-12-28,5000000,2141423,10727536,December,5727536,14.55072,0.8003807211646737
1365,tt5308322,Happy Death Day,96.0,"Horror,Mystery,Thriller",6.5,87132,Uni.,69800000.0,2017-10-13,5000000,55683845,125010260,October,120010260,2300.2052,0.5545658012390343
1366,tt5322012,Wish Upon,90.0,"Drama,Fantasy,Horror",5.0,14962,BG,0.0,2017-07-14,12000000,14301505,23477345,July,11477345,-4.355458333333333,0.39083806111806935
1367,tt5340300,Lean on Pete,121.0,"Adventure,Drama",7.2,8607,A24,0.0,2018-04-06,8000000,1163056,2455027,April,-5544973,-169.3121625,0.5262553120597044
1368,tt5360952,The Hurricane Heist,103.0,"Action,Adventure,Crime",5.1,15326,ENTMP,0.0,2018-03-09,40000000,6115824,30963684,March,-9036316,-122.59079,0.8024839679929558
1369,tt5439796,Logan Lucky,118.0,"Comedy,Crime,Drama",7.0,105966,BST,20700000.0,2017-08-18,29000000,27778642,44264271,August,15264271,-47.364582758620685,0.3724364736516275
1370,tt5462602,The Big Sick,120.0,"Comedy,Drama,Romance",7.6,104008,LGF,13500000.0,2017-06-23,5000000,42872467,53972860,June,48972860,879.4572000000001,0.20566619964181998
1371,tt5463162,Deadpool 2,119.0,"Action,Adventure,Comedy",7.8,391735,Fox,460500000.0,2018-05-18,110000000,324591735,786680557,May,676680557,515.1641427272727,0.5873906732386676
1372,tt5523010,The Nutcracker and the Four Realms,99.0,"Adventure,Family,Fantasy",5.5,18734,BV,119100000.0,2018-11-02,132900000,54858851,170293899,November,37393899,-71.8631309255079,0.6778578015880651
1373,tt5580036,"I, Tonya",120.0,"Biography,Comedy,Drama",7.5,141668,Neon,23900000.0,2017-12-08,11000000,30014534,53797409,December,42797409,289.0673545454546,0.44208216421723956
1374,tt5580266,The Hate U Give,133.0,"Crime,Drama",7.3,17583,Fox,5200000.0,2018-10-05,23000000,29719483,35067665,October,12067665,-47.53189130434783,0.15251035391150222
1375,tt5580390,The Shape of Water,123.0,"Adventure,Drama,Fantasy",7.3,308112,FoxS,131400000.0,2017-12-01,19500000,63859435,195790794,December,176290794,804.0553538461538,0.6738384185724279
1376,tt5649144,The Florida Project,111.0,Drama,7.6,72193,A24,0.0,2017-10-06,2000000,5904366,11295324,October,9295324,364.76619999999997,0.47727342748202706
1377,tt5664636,Goosebumps 2: Haunted Halloween,90.0,"Adventure,Comedy,Family",5.6,11459,Sony,46600000.0,2018-10-12,35000000,46697321,93291478,October,58291478,66.54708000000001,0.49944708776079205
1378,tt5690360,Slender Man,93.0,"Horror,Mystery,Thriller",3.2,19650,SGem,21200000.0,2018-08-10,10000000,30564825,51723644,August,41723644,317.23644,0.4090744070545378
1380,tt5721088,Just Getting Started,91.0,"Action,Comedy",4.4,4829,BG,1600000.0,2017-12-08,22000000,6069605,6756412,December,-15243588,-169.28903636363637,0.10165262272342183
1381,tt5726086,Insidious: The Last Key,103.0,"Horror,Mystery,Thriller",5.7,42154,Uni.,100100000.0,2018-01-05,10000000,67745330,167885588,January,157885588,1478.85588,0.596479180809731
1382,tt5734576,The Possession of Hannah Grace,86.0,"Horror,Mystery,Thriller",5.2,11629,SGem,28200000.0,2018-11-30,6000000,14836174,42785387,November,36785387,513.0897833333333,0.6532420286393577
1383,tt5758778,Skyscraper,102.0,"Action,Adventure,Thriller",5.8,81193,Uni.,236400000.0,2018-07-13,125000000,68420120,304115534,July,179115534,43.2924272,0.7750193188092785
1384,tt5834262,Hotel Artemis,94.0,"Action,Drama,Sci-Fi",6.1,30586,Global Road,6000000.0,2018-06-08,15000000,6708137,12758799,June,-2241201,-114.94134,0.4742344479288372
1385,tt6000478,"Roman J. Israel, Esq.",122.0,"Crime,Drama,Thriller",6.4,23632,Sony,1100000.0,2017-11-17,22000000,11962712,12967012,November,-9032988,-141.05903636363638,0.07745037947061359
